	sample_id	genotype	condition	group	sizeFactor
SRR10408671	SRR10408671	WT	PN	WT_PN	1.70652436904156
SRR10408672	SRR10408672	WT	PN	WT_PN	2.16683736565014
SRR10408673	SRR10408673	WT	PN	WT_PN	1.85183765490584
SRR10408674	SRR10408674	DoubleMutant	PN	DoubleMutant_PN	2.17599992939572
SRR10408675	SRR10408675	DoubleMutant	PN	DoubleMutant_PN	1.76593411510913
SRR10408676	SRR10408676	DoubleMutant	PN	DoubleMutant_PN	1.72128577225331
SRR10408683	SRR10408683	WT	NPN	WT_NPN	1.22080871813956
SRR10408684	SRR10408684	WT	NPN	WT_NPN	0.785461889667029
SRR10408685	SRR10408685	WT	NPN	WT_NPN	0.788639848705624
SRR10408686	SRR10408686	DoubleMutant	NPN	DoubleMutant_NPN	0.201905355004424
SRR10408687	SRR10408687	DoubleMutant	NPN	DoubleMutant_NPN	0.733732802729276
SRR10408688	SRR10408688	DoubleMutant	NPN	DoubleMutant_NPN	0.214271900816014
