	sample_id	genotype	condition	group
SRR10408671	SRR10408671	WT	PN	WT_PN
SRR10408672	SRR10408672	WT	PN	WT_PN
SRR10408673	SRR10408673	WT	PN	WT_PN
SRR10408674	SRR10408674	DoubleMutant	PN	DoubleMutant_PN
SRR10408675	SRR10408675	DoubleMutant	PN	DoubleMutant_PN
SRR10408676	SRR10408676	DoubleMutant	PN	DoubleMutant_PN
SRR10408683	SRR10408683	WT	NPN	WT_NPN
SRR10408684	SRR10408684	WT	NPN	WT_NPN
SRR10408685	SRR10408685	WT	NPN	WT_NPN
SRR10408686	SRR10408686	DoubleMutant	NPN	DoubleMutant_NPN
SRR10408687	SRR10408687	DoubleMutant	NPN	DoubleMutant_NPN
SRR10408688	SRR10408688	DoubleMutant	NPN	DoubleMutant_NPN
