PC	explained_variance	explained_variance_percent
PC1	0.732741746254529	73.2741746254529
PC2	0.0627755531634549	6.27755531634549
PC3	0.0560704908326155	5.60704908326155
PC4	0.0468995819133615	4.68995819133615
PC5	0.026838374307637	2.6838374307637
PC6	0.0177302967930055	1.77302967930055
PC7	0.0163774319868292	1.63774319868292
PC8	0.0132610901266388	1.32610901266388
PC9	0.0111537551941263	1.11537551941263
PC10	0.00860850527073895	0.860850527073895
PC11	0.00754317415706322	0.754317415706322
PC12	2.46343589963419e-30	2.46343589963419e-28
