	SRR10408671	SRR10408672	SRR10408673	SRR10408674	SRR10408675	SRR10408676	SRR10408683	SRR10408684	SRR10408685	SRR10408686	SRR10408687	SRR10408688
SRR10408671	0	180.683810721654	327.203055859318	359.354593276461	187.392053456574	182.683754905246	8310.15312488871	8305.75407747389	8300.78548978975	9236.23490708763	8733.76990465974	9209.39726937956
SRR10408672	180.683810721654	0	161.914189920981	481.516824353042	202.003816310808	171.314795070004	7734.87422068854	7744.96792018352	7738.35822488723	8618.02478838525	8103.01909903092	8579.35342766683
SRR10408673	327.203055859318	161.914189920981	0	701.567903932286	356.207017280894	292.286280611032	7602.1798644796	7608.60351149028	7602.01354208232	8432.43590942187	7935.53982899218	8409.93093554309
SRR10408674	359.354593276461	481.516824353042	701.567903932286	0	241.125019024128	384.835541665756	8948.23516658799	8952.2023824176	8952.49986963618	9887.28547666266	9355.49289422179	9831.6780511507
SRR10408675	187.392053456574	202.003816310808	356.207017280894	241.125019024128	0	176.752745327039	8324.93515229553	8327.85670409957	8326.45465608676	9214.87185073498	8707.903122216	9173.64511751234
SRR10408676	182.683754905246	171.314795070004	292.286280611032	384.835541665756	176.752745327039	0	8228.3062915175	8230.55116118426	8230.1497205996	9111.48146027906	8617.54716989624	9085.61916216846
SRR10408683	8310.15312488871	7734.87422068854	7602.1798644796	8948.23516658799	8324.93515229553	8228.3062915175	0	274.430231400534	257.711639376804	918.523241473305	465.877596599671	904.03560329072
SRR10408684	8305.75407747389	7744.96792018352	7608.60351149028	8952.2023824176	8327.85670409957	8230.55116118426	274.430231400534	0	252.285162472869	906.052865244193	462.068366783385	891.120395399076
SRR10408685	8300.78548978975	7738.35822488723	7602.01354208232	8952.49986963618	8326.45465608676	8230.1497205996	257.711639376804	252.285162472869	0	886.922227758386	442.192988970724	878.524029228096
SRR10408686	9236.23490708763	8618.02478838525	8432.43590942187	9887.28547666266	9214.87185073498	9111.48146027906	918.523241473305	906.052865244193	886.922227758386	0	708.089315199373	1030.43480346677
SRR10408687	8733.76990465974	8103.01909903092	7935.53982899218	9355.49289422179	8707.903122216	8617.54716989624	465.877596599671	462.068366783385	442.192988970724	708.089315199373	0	682.117502569867
SRR10408688	9209.39726937956	8579.35342766683	8409.93093554309	9831.6780511507	9173.64511751234	9085.61916216846	904.03560329072	891.120395399076	878.524029228096	1030.43480346677	682.117502569867	0
