group	sample_1	sample_2	correlation	pass_gt_0_90
DoubleMutant_NPN	SRR10408686	SRR10408687	0.982402193006067	TRUE
DoubleMutant_NPN	SRR10408686	SRR10408688	0.972809582414997	TRUE
DoubleMutant_NPN	SRR10408687	SRR10408688	0.983417746743106	TRUE
DoubleMutant_PN	SRR10408674	SRR10408675	0.993611333866636	TRUE
DoubleMutant_PN	SRR10408674	SRR10408676	0.990056393481119	TRUE
DoubleMutant_PN	SRR10408675	SRR10408676	0.995740992083036	TRUE
WT_NPN	SRR10408683	SRR10408684	0.991490521270154	TRUE
WT_NPN	SRR10408683	SRR10408685	0.991569487755869	TRUE
WT_NPN	SRR10408684	SRR10408685	0.992943593131409	TRUE
WT_PN	SRR10408671	SRR10408672	0.995285873196139	TRUE
WT_PN	SRR10408671	SRR10408673	0.991147423766939	TRUE
WT_PN	SRR10408672	SRR10408673	0.995682926184841	TRUE
