chr	n_methyl	n_unmethyl	depth	weighted_meth_pct	sample_id
1	1832949	286330020	288162969	0.636080689465689	SRR10382875
2	1352042	213108537	214460579	0.630438473263657	SRR10382875
3	1202047	187761589	188963636	0.636126095710817	SRR10382875
4	1239479	193968259	195207738	0.634953825447227	SRR10382875
supercont3.32	56476	8383213	8439689	0.669171577293903	SRR10382875
supercont3.33	60519	8959213	9019732	0.670962285797405	SRR10382875
DS231675	1376	228960	230336	0.597388163378716	SRR10382875
DS231677	42	13513	13555	0.309848764293619	SRR10382875
DS231688	632	91797	92429	0.683768081446299	SRR10382875
DS231690	3	40	43	6.97674418604651	SRR10382875
DS231693	324	44586	44910	0.721442885771543	SRR10382875
1	1825337	254785161	256610498	0.711325925566771	SRR10382876
2	1344364	189332004	190676368	0.705050140246011	SRR10382876
3	1191689	167112719	168304408	0.708055727215416	SRR10382876
4	1236704	172863416	174100120	0.710340693619281	SRR10382876
supercont3.32	60168	8510258	8570426	0.702042115526113	SRR10382876
supercont3.33	59688	8481193	8540881	0.698850622084537	SRR10382876
DS231675	1652	240636	242288	0.681833190252922	SRR10382876
DS231677	45	13070	13115	0.343118566526878	SRR10382876
DS231686	0	36	36	0	SRR10382876
DS231688	612	79763	80375	0.761430793157076	SRR10382876
DS231693	256	39965	40221	0.636483429054474	SRR10382876
1	1793075	258134073	259927148	0.689837523243244	SRR10382877
2	1323004	192061040	193384044	0.684132968074657	SRR10382877
3	1171971	169310822	170482793	0.687442397779112	SRR10382877
4	1215909	174793772	176009681	0.690819387372221	SRR10382877
supercont3.32	58388	8169152	8227540	0.7096653434684	SRR10382877
supercont3.33	60757	8511353	8572110	0.708775319028804	SRR10382877
DS231675	1494	223288	224782	0.664643966153874	SRR10382877
DS231677	48	10842	10890	0.440771349862259	SRR10382877
DS231683	0	81	81	0	SRR10382877
DS231687	0	52	52	0	SRR10382877
DS231688	588	80763	81351	0.7227938193753	SRR10382877
DS231693	283	42329	42612	0.664132169341969	SRR10382877
1	4239618	269590001	273829619	1.54826859690441	SRR10382878
2	3140531	201356968	204497499	1.53573076216448	SRR10382878
3	2781588	177218197	179999785	1.54532851247572	SRR10382878
4	2866517	183202831	186069348	1.54056379022729	SRR10382878
supercont3.32	285089	20024851	20309940	1.40369198530375	SRR10382878
supercont3.33	288464	21496645	21785109	1.32413383839392	SRR10382878
DS231675	5634	373521	379155	1.4859358309926	SRR10382878
DS231677	150	41759	41909	0.357918346894462	SRR10382878
DS231683	0	77	77	0	SRR10382878
DS231688	1399	76262	77661	1.80141898765146	SRR10382878
DS231693	574	43321	43895	1.30766602118692	SRR10382878
